asset_type,asset_category,energy_vector,mvs_type,asset_fields,unit,ports
biogas_plant,energy_production,Gas,source,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,renewable_asset,input_timeseries]",,{'output_1': 'to_bus'}
geothermal_conversion,energy_production,Electricity,source,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,renewable_asset,input_timeseries]",kWh,{'output_1': 'to_bus'}
solar_thermal_plant,energy_production,Heat,source,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,renewable_asset,input_timeseries]",m³,{'output_1': 'to_bus'}
charging_power,energy_storage,Electricity,storage,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,crate,efficiency,dispatchable]",kW,"{'input_1':'charge','output_1': 'discharge'}"
discharging_power,energy_storage,Electricity,storage,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,crate,efficiency,dispatchable]",kW,"{'input_1':'charge','output_1': 'discharge'}"
capacity,energy_storage,Electricity,storage,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_fix,opex_var,lifetime,optimize_cap,maximum_capacity,efficiency,soc_max,soc_min,crate,dispatchable,thermal_loss_rate,fixed_thermal_losses_relative,fixed_thermal_losses_absolute]",kWh,"{'input_1':'charge','output_1': 'discharge'}"
bess,energy_storage,Electricity,storage,[name],kW (el),"{'input_1':'charge','output_1': 'discharge'}"
gess,energy_storage,Gas,storage,[name],l,"{'input_1':'charge','output_1': 'discharge'}"
h2ess,energy_storage,H2,storage,[name],kgH2,"{'input_1':'charge','output_1': 'discharge'}"
hess,energy_storage,Heat,storage,[name],kW (therm),"{'input_1':'charge','output_1': 'discharge'}"
chp,energy_conversion,Electricity,extractionTurbineCHP,"[name,age_installed,installed_capacity,capex_fix,capex_var,opex_var,opex_fix,lifetime,optimize_cap,maximum_capacity,efficiency_multiple,efficiency,thermal_loss_rate]",kW,"{'input_1':'fuel','output_1': 'heat_bus', 'output_2': 'electricity_bus'}"
chp_fixed_ratio,energy_conversion,Electricity,transformer,"[name,age_installed,installed_capacity,capex_var,opex_fix,lifetime,optimize_cap,maximum_capacity,efficiency_multiple,efficiency]",kW,"{'input_1':'fuel','output_1': 'heat_bus', 'output_2': 'electricity_bus'}"
